User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
1,25,Female,Instagram,120,3,45,10,12,Happiness
2,30,Male,Twitter,90,5,20,25,30,Anger
4,28,Female,Instagram,200,8,100,30,50,Anxiety
5,33,Male,LinkedIn,45,1,5,2,10,Boredom
6,21,Male,Instagram,150,4,60,15,25,Happiness
7,27,Female,Twitter,85,3,30,10,18,Anger
9,29,Female,LinkedIn,55,2,10,3,8,Neutral
10,31,Male,Instagram,170,5,80,20,35,Happiness
11,23,Female,Twitter,75,4,35,7,20,Anxiety
13,34,Male,LinkedIn,65,1,12,4,15,Boredom
14,22,Female,Instagram,180,7,90,25,40,Happiness
15,28,Male,Twitter,100,6,40,23,28,Anger
17,35,Female,Instagram,125,4,55,18,30,Anxiety
18,27,Male,Twitter,90,3,33,15,25,Sadness
20,32,Female,Instagram,140,5,70,22,33,Happiness
21,26,Male,Facebook,75,2,25,10,18,Anxiety
22,24,Female,Twitter,105,4,28,14,20,Anger
23,29,Male,LinkedIn,60,2,11,5,17,Boredom
25,22,Female,Twitter,70,3,20,12,15,Sadness
26,31,Male,Facebook,80,2,18,8,21,Neutral
28,25,Female,Instagram,160,6,85,19,32,Happiness
29,30,Male,Twitter,90,4,38,17,24,Anger
31,34,Female,LinkedIn,65,2,13,4,14,Boredom
32,28,Male,Instagram,145,5,75,20,35,Happiness
34,21,Female,Instagram,130,6,88,15,30,Sadness
35,29,Male,Facebook,65,2,22,8,20,Anxiety
37,33,Female,Instagram,170,7,90,25,40,Happiness
38,27,Male,Twitter,85,4,35,15,20,Anger
39,22,Female,Instagram,115,3,55,12,25,Neutral
41,31,Male,LinkedIn,45,1,6,2,9,Sadness
42,25,Female,Instagram,150,6,80,18,30,Happiness
43,29,Male,Twitter,95,4,40,20,22,Anger
45,35,Female,LinkedIn,60,1,12,5,14,Boredom
46,30,Male,Instagram,175,7,85,23,38,Happiness
47,21,Female,Twitter,90,3,33,12,20,Sadness
49,32,Male,Instagram,130,5,70,19,31,Neutral
50,28,Female,LinkedIn,55,1,8,4,10,Boredom
51,27,Male,Instagram,165,6,78,22,27,Happiness
52,24,Female,Twitter,75,3,29,15,19,Anger
54,33,Female,Instagram,145,4,60,18,35,Sadness
55,31,Male,LinkedIn,60,1,10,3,17,Anxiety
56,22,Female,Whatsapp,70,2,40,8,21,Anxiety
57,25,Male,Telegram,90,3,20,10,22,Boredom
59,28,Female,Twitter,95,4,45,20,25,Happiness
60,27,Male,Facebook,60,1,10,4,15,Boredom
61,30,Female,Instagram,175,6,70,23,33,Happiness
62,23,Male,Whatsapp,70,3,20,8,18,Anger
64,26,Female,Snapchat,120,4,50,15,30,Anxiety
65,25,Male,Twitter,90,6,40,12,26,Sadness
67,28,Male,Instagram,165,5,75,18,35,Happiness
68,31,Female,Whatsapp,65,2,25,8,20,Neutral
69,27,Male,Telegram,105,3,45,15,28,Anxiety
71,24,Female,Instagram,140,4,60,18,30,Happiness
72,35,Male,Twitter,70,1,12,7,10,Boredom
74,29,Female,Whatsapp,90,2,20,9,22,Anger
75,25,Male,Telegram,80,4,28,11,25,Neutral
77,32,Female,Instagram,155,6,72,20,38,Happiness
78,26,Male,Twitter,75,2,22,10,18,Sadness
80,27,Female,Whatsapp,90,4,35,14,20,Neutral
81,31,Male,Telegram,50,2,18,6,12,Sadness
83,34,Female,Instagram,120,5,55,19,25,Anger
84,22,Male,Twitter,70,1,20,5,22,Neutral
86,28,Female,Whatsapp,100,4,35,12,26,Anxiety
87,31,Male,Telegram,85,3,40,15,28,Sadness
89,25,Female,Instagram,170,6,78,22,33,Happiness
90,30,Male,Twitter,70,2,28,10,20,Anxiety
92,32,Female,Whatsapp,105,4,50,18,25,Anger
93,24,Male,Telegram,75,3,33,13,22,Neutral
94,29,Female,Snapchat,95,2,20,7,28,Sadness
95,26,Male,Instagram,150,5,65,20,30,Anxiety
97,22,Female,Facebook,70,1,12,5,10,Neutral
98,35,Male,Whatsapp,110,3,45,20,25,Happiness
100,27,Female,Snapchat,120,4,38,13,22,Neutral
101,25,Female,Instagram,120,5,50,20,25,Happiness
102,30,Male,Twitter,90,4,30,20,22,Anger
104,28,Female,Instagram,200,8,110,40,45,Anxiety
105,33,Male,LinkedIn,45,1,10,5,12,Boredom
106,21,Male,Instagram,150,5,65,25,30,Happiness
107,27,Female,Twitter,85,3,40,18,20,Anger
109,29,Female,LinkedIn,55,2,15,5,10,Neutral
110,31,Male,Instagram,170,7,90,35,40,Happiness
111,23,Female,Twitter,75,4,45,20,25,Anxiety
113,34,Male,LinkedIn,65,1,14,6,15,Boredom
114,22,Female,Instagram,180,8,100,38,45,Happiness
115,28,Male,Twitter,100,6,50,30,29,Anger
117,35,Female,Instagram,125,5,65,22,28,Anxiety
118,27,Male,Twitter,90,3,40,16,24,Sadness
120,32,Female,Instagram,140,6,75,28,30,Happiness
121,26,Male,Facebook,75,2,30,14,20,Anxiety
122,24,Female,Twitter,105,4,35,20,23,Anger
123,29,Male,LinkedIn,60,2,17,8,15,Boredom
125,22,Female,Twitter,70,3,25,16,15,Sadness
126,31,Male,Facebook,80,2,20,10,20,Neutral
128,25,Female,Instagram,160,6,85,26,30,Happiness
129,30,Male,Twitter,90,4,43,19,24,Anger
131,34,Female,LinkedIn,65,2,17,5,14,Boredom
132,28,Male,Instagram,145,7,80,30,35,Happiness
134,21,Female,Instagram,130,6,95,22,28,Sadness
135,29,Male,Facebook,65,2,27,11,22,Anxiety
